目标,平均延迟(ms),最小延迟(ms),丢包率(%),速度(Mbps),国家代码,国家名称,ISP,注释
172.64.53.246:443,10.23,10.10,0.00,31.06,US,美国·US,Cloudflare,
162.159.44.154:443,10.24,10.02,0.00,32.15,US,美国·US,Cloudflare,
172.64.53.19:443,10.24,10.12,0.00,26.01,US,美国·US,Cloudflare,
162.159.38.27:443,10.24,10.12,0.00,38.50,US,美国·US,Cloudflare,
162.159.39.95:443,10.24,10.06,0.00,23.29,US,美国·US,Cloudflare,
162.159.45.47:443,10.25,10.03,0.00,24.02,US,美国·US,Cloudflare,
162.159.38.175:443,10.25,9.84,0.00,25.40,US,美国·US,Cloudflare,
162.159.45.1:443,10.26,10.02,0.00,27.16,US,美国·US,Cloudflare,
172.64.53.2:443,10.27,10.03,0.00,26.27,US,美国·US,Cloudflare,
172.64.53.33:443,10.27,10.08,0.00,24.73,US,美国·US,Cloudflare,
162.159.44.173:443,10.27,10.19,0.00,31.76,US,美国·US,Cloudflare,
162.159.44.226:443,10.28,10.10,0.00,25.93,US,美国·US,Cloudflare,
172.64.53.199:443,10.28,10.09,0.00,31.89,US,美国·US,Cloudflare,
162.159.45.52:443,10.28,10.01,0.00,22.63,US,美国·US,Cloudflare,
108.162.198.165:443,10.29,9.89,0.00,33.04,US,美国·US,Cloudflare,
162.159.44.8:443,10.29,10.23,0.00,30.09,US,美国·US,Cloudflare,
108.162.198.114:443,10.30,10.06,0.00,19.41,US,美国·US,Cloudflare,
162.159.44.125:443,10.30,10.23,0.00,27.22,US,美国·US,Cloudflare,
162.159.45.35:443,10.31,10.01,0.00,25.88,US,美国·US,Cloudflare,
108.162.198.154:443,10.31,9.93,0.00,32.68,US,美国·US,Cloudflare,
162.159.38.168:443,10.34,10.28,0.00,21.43,US,美国·US,Cloudflare,
162.159.44.63:443,10.36,10.23,0.00,21.10,US,美国·US,Cloudflare,
108.162.198.243:443,10.37,9.90,0.00,28.42,US,美国·US,Cloudflare,
162.159.44.201:443,10.37,10.08,0.00,30.05,US,美国·US,Cloudflare,
172.64.53.150:443,10.38,10.10,0.00,28.03,US,美国·US,Cloudflare,
162.159.45.188:443,10.41,9.94,0.00,22.89,US,美国·US,Cloudflare,
162.159.45.87:443,10.41,10.35,0.00,28.30,US,美国·US,Cloudflare,
162.159.44.207:443,10.41,10.20,0.00,25.40,US,美国·US,Cloudflare,
162.159.45.234:443,10.42,10.04,0.00,27.16,US,美国·US,Cloudflare,
45.133.17.118:443,14.75,14.59,0.00,20.13,CA,加拿大·CA,Cloudflare,45.133.17.118:443
140.238.144.211:443,15.63,14.31,0.00,19.48,CA,加拿大·CA,Cloudflare,140.238.144.211:443
www.affirm.com:443,19.86,6.42,0.00,18.46,US,美国·US,Cloudflare,
159.203.35.153:443,20.49,17.98,0.00,25.02,CA,加拿大·CA,Cloudflare,
144.217.93.183:443,23.29,22.27,0.00,24.95,CA,加拿大·CA,Cloudflare,144.217.93.183:443
192.99.169.176:443,24.60,23.92,0.00,16.73,CA,加拿大·CA,Cloudflare,192.99.169.176:443
158.69.196.206:8443,24.61,24.18,0.00,18.24,CA,加拿大·CA,Cloudflare,158.69.196.206:8443
151.145.33.145:443,27.85,22.27,0.00,23.72,CA,加拿大·CA,Cloudflare,151.145.33.145:443
www.jimdo.com:443,40.24,8.63,0.00,11.27,US,美国·US,Cloudflare,
69.8.129.110:443,45.11,44.94,0.00,39.73,US,美国·US,Cloudflare,69.8.129.110:443
172.235.137.162:443,45.55,44.84,0.00,23.55,US,美国·US,Cloudflare,172.235.137.162:443
38.213.228.91:443,47.56,45.50,0.00,23.63,MX,墨西哥·MX,Cloudflare,38.213.228.91:443
172.184.156.22:8443,48.07,46.84,0.00,22.53,US,美国·US,Cloudflare,
104.248.208.69:2083,50.66,49.71,0.00,34.98,US,美国·US,Cloudflare,104.248.208.69:2083
107.173.155.70:2053,50.98,50.60,0.00,27.47,US,美国·US,Cloudflare,107.173.155.70:2053
144.34.161.46:443,51.22,51.14,0.00,31.34,US,美国·US,Cloudflare,
130.12.47.179:2053,51.50,49.73,0.00,38.64,US,美国·US,Cloudflare,130.12.47.179:2053
192.129.226.234:2053,51.65,51.42,0.00,20.08,US,美国·US,Cloudflare,
142.248.219.230:2053,51.96,51.85,0.00,27.44,US,美国·US,Cloudflare,
216.238.79.83:8443,60.52,52.70,0.00,14.94,MX,墨西哥·MX,Cloudflare,216.238.79.83:8443
70.79.240.221:443,64.16,63.38,0.00,27.83,CA,加拿大·CA,Cloudflare,
131.196.254.151:443,71.20,70.40,0.00,19.93,MX,墨西哥·MX,Cloudflare,131.196.254.151:443
63.32.194.15:2053,88.69,86.44,0.00,16.34,IE,爱尔兰·IE,Cloudflare,63.32.194.15:2053
57.129.137.18:443,92.06,90.83,0.00,3633.20,GB,英国·GB,Cloudflare,
196.197.21.2:8443,92.68,87.30,0.00,17.21,IE,爱尔兰·IE,Cloudflare,196.197.21.2:8443
68.221.24.51:443,92.99,92.53,0.00,515.79,ES,西班牙·ES,Cloudflare,
194.87.245.205:8443,94.05,91.82,0.00,27.64,IE,爱尔兰·IE,Cloudflare,194.87.245.205:8443
57.128.179.30:443,94.21,91.01,0.00,19.77,GB,英国·GB,Cloudflare,
